,id,scaled_skl,scaled_rp,scaled_rh,bpm,scaled_bh,scaled_mfcc,key,scale,scaled_levenshtein,scaled_corr,scaled_js,aggregated
3330,/root/sim/music/201~300/238_Smiling_Daysmp3,0.0037979252133636524,0.4813072626594333,0.37082819902646996, 111.41158294677734,0.4505454545454545,0.3013508678549746, G, major,0.19951253481894152,0.9872931300295381,0.27901794383405054,0.28373783268332936
3331,/root/sim/music/301~400/388_Weekend_Garagemp3,0.001006025652101303,0.4623488366031941,0.47380202258249915, 140.039306640625,0.8685858108833315,0.14182611536307635, E, minor,0.16260445682451252,0.9847618632301517,0.19817315261296145,0.283832509362689
3332,/root/sim/music/401~500/489_この路の先へmp3,0.0013227075425730167,0.4387291548883516,0.46922883060707865, 93.99861907958984,0.8744163893957282,0.14523794958856562, F#, major,0.1549442896935933,0.9397419558221785,0.22645853511689254,0.283934807038724
3333,/root/sim/music/801~900/896_Night_Cruisingmp3,0.0009739958686366734,0.4979169423293598,0.4551087661528134, 161.53785705566406,0.7672713856391542,0.058781865564463104, A, minor,0.19568245125348188,0.9389595840829414,0.18217508887612305,0.28404369830673326
3334,/root/sim/music/601~700/615_町の喫茶店mp3,0.0020977032807175558,0.3595115908644381,0.5113501832063966, 99.9895248413086,0.8050687989696255,0.13288408111303388, C, minor,0.149025069637883,0.9019483390381101,0.26409549992514975,0.2842637443191755
3335,/root/sim/music/601~700/699_驚愕の真実mp3,0.003351453100791277,0.3470441190622256,0.4734201292141123, 99.45184326171875,0.6117389181066867,0.18383799844272122, F, minor,0.20020891364902507,0.9850163384421693,0.3134625394767722,0.2843195602134753
3336,/root/sim/music/out/Billy_Joel/Greatest_Hits_-_Volume_I_&_Volume_II_[Disc_2]/09_Goodnight_Saigonmp3,0.0005951462709163456,0.3823440551084808,0.6336926914390572, 129.9981231689453,0.5906616936782226,0.21441548651507583, F, major,0.225974930362117,0.9285078180436214,0.12129468843610708,0.28448164531364034
3337,/root/sim/music/101~200/186_Laughing_Ghostmp3,0.0021602199607276976,0.3217847204680051,0.5233483006878447, 129.928466796875,0.8239288397552861,0.030283028268141204, E, minor,0.16573816155988857,0.9709451654896771,0.29078190585410135,0.2845187867426697
3338,/root/sim/music/out/FUNKY_MONKEY_BABYS/ファンキーモンキーベイビーズ_LAST_BEST__メンバーBEST_[Disc_2]/02_モーニングショットmp3,0.00040273806870353383,0.5524262326633226,0.4868732864539425, 120.00324249267578,0.5192952130514114,0.055818169415448676, C#, major,0.15215877437325906,0.9586073187606591,0.09849097436467945,0.284548307887662
3339,/root/sim/music/901~1000/962_TSUBAKImp3,0.001416741508974041,0.467835777208409,0.4565960431179356, 120.00057220458984,0.3768670977782548,0.1954675998567169, E, minor,0.1573816155988858,0.9681469012180914,0.2125794133021105,0.2846069937843573
